CustomerKey;Prefix;FirstName;LastName;Fecha_Nacimiento;MaritalStatus;Gender;EmailAddress;AnnualIncome;Total_children;EducationLevel;Occupation;HomeOwner
11069;MR.;WILLIE;RAJI;5/4/1955;M;M;willie40@adventure-works.com;$80,000 ;2;High School;Skilled Manual;Y
11070;MRS.;LINDA;SERRANO;26/6/1955;S;F;linda31@adventure-works.com;$80,000 ;2;High School;Skilled Manual;Y
11071;MRS.;CASEY;LUO;6/2/1955;S;F;casey6@adventure-works.com;$80,000 ;2;High School;Skilled Manual;N
11072;MRS.;AMY;YE;14/8/1956;S;F;amy16@adventure-works.com;$70,000 ;2;High School;Skilled Manual;Y
11073;MR.;LEVI;ARUN;28/8/1956;S;M;levi6@adventure-works.com;$70,000 ;2;High School;Skilled Manual;Y
11074;MRS.;FELICIA;JIMENEZ;16/11/1957;S;F;felicia4@adventure-works.com;$80,000 ;2;High School;Professional;Y
11075;MR.;BLAKE;ANDERSON;13/7/1957;S;M;blake9@adventure-works.com;$80,000 ;2;High School;Professional;Y
11076;MRS.;LEAH;YE;19/9/1957;S;F;leah7@adventure-works.com;$80,000 ;2;High School;Professional;N
11077;MS.;GINA;MARTIN;10/1/1974;S;F;gina1@adventure-works.com;$40,000 ;0;High School;Professional;N
11078;MR.;DONALD;GONZALEZ;11/3/1959;S;M;donald20@adventure-works.com;$160,000 ;0;Graduate Degree;Management;Y
11079;MR.;DAMIEN;CHANDER;17/7/1959;M;M;damien32@adventure-works.com;$170,000 ;0;Graduate Degree;Management;Y
11080;MRS.;SAVANNAH;BAKER;24/7/1966;M;F;savannah39@adventure-works.com;$120,000 ;2;Bachelors;Management;Y
11081;;ANGELA;BUTLER;4/8/1966;S;NA;angela17@adventure-works.com;$130,000 ;0;Graduate Degree;Management;N
11082;MS.;ALYSSA;COX;15/3/1966;M;F;alyssa37@adventure-works.com;$130,000 ;0;Graduate Degree;Management;Y
11083;MR.;LUCAS;PHILLIPS;12/9/1957;S;M;lucas7@adventure-works.com;$80,000 ;2;Partial High School;Skilled Manual;N
11084;MRS.;EMILY;JOHNSON;19/7/1957;S;F;emily1@adventure-works.com;$60,000 ;2;High School;Professional;N
11085;MR.;RYAN;BROWN;23/12/1957;M;M;ryan43@adventure-works.com;$70,000 ;2;Partial College;Professional;Y
11086;MRS.;TAMARA;LIANG;3/10/1957;M;F;tamara6@adventure-works.com;$70,000 ;3;Partial College;Professional;N
11087;MRS.;ABIGAIL;PRICE;5/2/1957;S;F;abigail25@adventure-works.com;$80,000 ;2;Bachelors;Management;Y
11088;MR.;TREVOR;BRYANT;17/12/1957;S;M;trevor18@adventure-works.com;$90,000 ;2;Partial College;Professional;Y
11089;MR.;DALTON;PEREZ;4/4/1957;M;M;dalton37@adventure-works.com;$90,000 ;2;Partial College;Professional;Y
11090;MRS.;CHERYL;DIAZ;6/5/1967;M;F;cheryl4@adventure-works.com;$90,000 ;2;Bachelors;Professional;Y
11091;MS.;AIMEE;HE;10/9/1967;M;F;aimee13@adventure-works.com;$100,000 ;0;Graduate Degree;Management;Y
11092;MR.;CEDRIC;MA;1/4/1962;S;M;cedric15@adventure-works.com;$70,000 ;1;Partial College;Skilled Manual;N
11093;MR.;CHAD;KUMAR;1/9/1962;S;M;chad9@adventure-works.com;$70,000 ;1;Partial College;Skilled Manual;Y
11094;MR.;ANDRÉS;ANAND;10/8/1962;M;M;andrés18@adventure-works.com;$60,000 ;1;Bachelors;Professional;Y
11095;MR.;EDWIN;NARA;27/10/1961;M;M;edwin39@adventure-works.com;$60,000 ;1;Partial College;Skilled Manual;Y
11096;MRS.;MALLORY;RUBIO;1/5/1961;S;F;mallory7@adventure-works.com;$60,000 ;1;Partial College;Skilled Manual;N
11097;MR.;ADAM;ROSS;8/3/1961;M;M;adam2@adventure-works.com;$60,000 ;1;Bachelors;Professional;Y
11098;MRS.;LATASHA;NAVARRO;15/9/1960;S;F;latasha10@adventure-works.com;$60,000 ;1;Partial College;Skilled Manual;Y
11099;MS.;ABBY;SAI;8/5/1965;S;F;abby4@adventure-works.com;$70,000 ;0;Bachelors;Professional;N
11100;MRS.;JULIA;NELSON;21/4/1965;S;F;julia7@adventure-works.com;$80,000 ;5;Bachelors;Professional;Y
11101;MS.;CASSIE;CHANDE;17/10/1964;S;F;cassie13@adventure-works.com;$70,000 ;0;Bachelors;Professional;Y
11102;MR.;EDGAR;SARA;11/3/1964;M;M;edgar11@adventure-works.com;$70,000 ;0;Bachelors;Professional;N
11103;MS.;CANDACE;FERNANDEZ;28/12/1964;S;F;candace15@adventure-works.com;$70,000 ;0;Bachelors;Professional;N
11104;MR.;JESSIE;LIU;11/9/1964;S;M;jessie9@adventure-works.com;$70,000 ;0;Bachelors;Professional;N
11105;MRS.;BIANCA;LIN;9/9/1959;M;F;bianca7@adventure-works.com;$90,000 ;1;Bachelors;Professional;Y
11106;MS.;KARI;ALVAREZ;14/7/1963;S;F;kari25@adventure-works.com;$70,000 ;0;Bachelors;Professional;N
11107;MR.;RUBEN;KAPOOR;5/11/1963;S;M;ruben1@adventure-works.com;$70,000 ;0;Bachelors;Professional;N
11108;MR.;CURTIS;YANG;6/6/1962;M;M;curtis5@adventure-works.com;$60,000 ;1;Partial College;Skilled Manual;Y
11109;MRS.;MEREDITH;GUTIERREZ;23/2/1962;M;F;meredith34@adventure-works.com;$60,000 ;1;Partial College;Skilled Manual;Y
11110;MRS.;CRYSTAL;WANG;9/9/1962;M;F;crystal3@adventure-works.com;$60,000 ;1;Partial College;Skilled Manual;Y
11111;MR.;MICHEAL;BLANCO;21/2/1962;M;M;micheal11@adventure-works.com;$70,000 ;5;Bachelors;Professional;Y
11112;MRS.;LESLIE;MORENO;28/5/1962;S;F;leslie7@adventure-works.com;$70,000 ;5;Partial College;Skilled Manual;Y
11113;MR.;ALVIN;CAI;12/2/1962;M;M;alvin20@adventure-works.com;$70,000 ;5;Partial College;Skilled Manual;Y
11114;MR.;CLINTON;CARLSON;7/10/1962;M;M;clinton14@adventure-works.com;$70,000 ;5;Partial College;Skilled Manual;Y
11115;MRS.;APRIL;DENG;21/2/1961;M;F;april1@adventure-works.com;$70,000 ;5;Partial College;Skilled Manual;Y
11116;MR.;ALVIN;ZENG;3/7/1957;S;M;alvin21@adventure-works.com;$80,000 ;1;Partial College;Skilled Manual;N
11117;MR.;EVAN;JAMES;10/4/1996;S;M;evan8@adventure-works.com;$30,000 ;2;Partial College;Clerical;N
11118;MR.;ORLANDO;SUAREZ;18/11/1960;M;M;orlando19@adventure-works.com;$70,000 ;5;Partial College;Skilled Manual;Y
11119;MR.;BYRON;VAZQUEZ;2/4/1960;M;M;byron9@adventure-works.com;$70,000 ;5;Partial College;Skilled Manual;Y
11120;MR.;PHILIP;ALVAREZ;20/6/1960;M;M;philip4@adventure-works.com;$70,000 ;5;Partial College;Skilled Manual;Y
11121;MR.;ROSS;JORDAN;27/7/1957;S;M;ross1@adventure-works.com;$80,000 ;1;Partial College;Skilled Manual;Y
11122;MRS.;DANA;NAVARRO;8/4/1956;S;F;dana2@adventure-works.com;$70,000 ;1;Partial College;Skilled Manual;Y
11123;MR.;SHAUN;CARSON;7/4/1949;M;M;shaun16@adventure-works.com;$10,000 ;2;High School;Skilled Manual;N
11124;MS.;JAN;EDWARDS;21/10/1975;M;F;jan11@adventure-works.com;$40,000 ;0;High School;Skilled Manual;Y
11125;MS.;SAMANTHA;LONG;5/12/1975;M;F;samantha35@adventure-works.com;$40,000 ;0;High School;Skilled Manual;Y
11126;MS.;JULIA;WRIGHT;5/8/1975;S;F;julia17@adventure-works.com;$40,000 ;0;High School;Skilled Manual;Y
11127;MS.;CAROLINE;RUSSELL;6/1/1980;M;F;caroline21@adventure-works.com;$30,000 ;0;High School;Skilled Manual;Y
11128;MS.;AMANDA;RIVERA;12/3/1980;M;F;amanda7@adventure-works.com;$30,000 ;0;High School;Skilled Manual;N
11129;MS.;MELISSA;RICHARDSON;26/10/1980;S;F;melissa31@adventure-works.com;$30,000 ;0;High School;Skilled Manual;N
11130;MS.;ANGELA;GRIFFIN;8/9/1980;S;F;angela23@adventure-works.com;$30,000 ;0;Partial High School;Clerical;N
11131;MR.;LARRY;TOWNSEND;26/2/1946;S;M;larry14@adventure-works.com;$10,000 ;5;High School;Skilled Manual;Y
11132;MR.;MARCUS;HARRIS;3/11/1979;S;M;marcus14@adventure-works.com;$30,000 ;0;Partial High School;Clerical;N
11133;MS.;BRIANNA;MORGAN;26/10/1978;S;F;brianna30@adventure-works.com;$40,000 ;0;High School;Skilled Manual;N
11134;MS.;JASMINE;TAYLOR;20/7/1978;M;F;jasmine7@adventure-works.com;$40,000 ;0;High School;Skilled Manual;Y
11135;MS.;LAUREN;DAVIS;15/9/1978;M;F;lauren23@adventure-works.com;$40,000 ;0;High School;Skilled Manual;N
11136;MRS.;TANYA;MORENO;9/11/1960;S;F;tanya2@adventure-works.com;$30,000 ;2;Partial College;Clerical;N
11137;MR.;JAVIER;ALVAREZ;11/2/1977;S;M;javier1@adventure-works.com;$30,000 ;0;Partial High School;Clerical;N
11138;MS.;NICOLE;RAMIREZ;21/6/1977;M;F;nicole42@adventure-works.com;$40,000 ;0;High School;Skilled Manual;N
11139;MR.;EDUARDO;PATTERSON;14/8/1977;S;M;eduardo55@adventure-works.com;$40,000 ;0;High School;Skilled Manual;N
11140;MR.;JONATHAN;HENDERSON;4/2/1977;M;M;jonathan4@adventure-works.com;$40,000 ;0;High School;Skilled Manual;Y
11141;MR.;EDWARD;HERNANDEZ;9/9/1979;S;M;edward48@adventure-works.com;$40,000 ;0;High School;Skilled Manual;N
11142;MS.;JASMINE;COLEMAN;8/12/1979;S;F;jasmine46@adventure-works.com;$40,000 ;0;High School;Skilled Manual;N
11143;MRS.;KARLA;GOEL;26/8/1978;S;F;karla20@adventure-works.com;$40,000 ;2;Bachelors;Management;Y
11144;MR.;ERNEST;WU;5/2/1999;M;M;ernest6@adventure-works.com;$60,000 ;2;Graduate Degree;Management;Y
11145;MR.;ROSS;VAZQUEZ;16/8/1941;M;M;ross32@adventure-works.com;$40,000 ;2;Bachelors;Management;Y
11146;MR.;THEODORE;GILL;20/4/1941;M;M;theodore14@adventure-works.com;$40,000 ;2;Bachelors;Management;Y
11147;MR.;RUSSELL;SHEN;15/3/1941;S;M;russell6@adventure-works.com;$40,000 ;2;Bachelors;Management;Y
11148;MRS.;MELINDA;GILL;25/2/1942;S;F;melinda9@adventure-works.com;$60,000 ;2;Graduate Degree;Management;N
11149;MR.;JAMES;WILLIAMS;10/1/1976;S;M;james77@adventure-works.com;$40,000 ;0;High School;Skilled Manual;Y
11150;MS.;ANGELA;JAMES;23/6/1976;M;F;angela34@adventure-works.com;$40,000 ;0;High School;Skilled Manual;Y
11151;MS.;MEGAN;WALKER;21/8/1976;S;F;megan25@adventure-works.com;$40,000 ;0;Partial College;Skilled Manual;Y
11152;MR.;HUNTER;ROBINSON;26/1/1976;S;M;hunter50@adventure-works.com;$40,000 ;0;Partial College;Skilled Manual;N
11153;MS.;MARIA;ROBERTS;7/2/1976;S;F;maria47@adventure-works.com;$40,000 ;0;Partial College;Skilled Manual;N
11154;MS.;HANNAH;LONG;11/6/1975;M;F;hannah32@adventure-works.com;$40,000 ;0;High School;Skilled Manual;Y
11155;MR.;JASON;WRIGHT;8/10/1975;S;M;jason46@adventure-works.com;$40,000 ;0;High School;Skilled Manual;Y
11156;MS.;BRIANNA;HUGHES;17/9/1975;S;F;brianna57@adventure-works.com;$40,000 ;0;High School;Skilled Manual;N
11157;MR.;MAURICE;TANG;8/1/1974;S;M;maurice4@adventure-works.com;$40,000 ;0;Partial College;Skilled Manual;N
11158;MS.;EMILY;WOOD;22/4/1974;S;F;emily27@adventure-works.com;$40,000 ;0;Partial College;Skilled Manual;N
11159;MR.;CHASE;COX;5/3/1974;S;M;chase10@adventure-works.com;$40,000 ;0;Partial College;Skilled Manual;Y
11160;MR.;GABRIEL;WANG;20/12/1974;M;M;gabriel21@adventure-works.com;$40,000 ;0;Partial College;Skilled Manual;Y
11161;MR.;DEVIN;BROOKS;5/5/1974;S;M;devin63@adventure-works.com;$40,000 ;0;Partial College;Skilled Manual;N
11162;MS.;JOCELYN;ALEXANDER;18/7/1973;M;F;jocelyn18@adventure-works.com;$60,000 ;0;Partial College;Skilled Manual;N
11163;MS.;ASHLEY;MARTINEZ;24/4/1972;S;F;ashley18@adventure-works.com;$70,000 ;0;Partial College;Skilled Manual;N
11164;MS.;JASMINE;BARNES;1/8/1972;S;F;jasmine43@adventure-works.com;$80,000 ;0;Bachelors;Management;N
11165;MR.;DAVID;RODRIGUEZ;15/5/1968;S;M;david83@adventure-works.com;$80,000 ;0;Bachelors;Management;N
11166;MR.;BRYCE;RICHARDSON;22/6/1968;M;M;bryce8@adventure-works.com;$90,000 ;4;Bachelors;Management;Y
11167;MRS.;CAROL;HOWARD;5/2/1968;M;F;carol5@adventure-works.com;$90,000 ;4;Bachelors;Management;Y
11168;MR.;JONATHAN;HILL;9/10/1967;S;M;jonathan43@adventure-works.com;$100,000 ;1;Bachelors;Management;Y
11169;MRS.;GABRIELLE;ADAMS;21/11/1967;M;F;gabrielle58@adventure-works.com;$100,000 ;1;Bachelors;Management;Y
11170;MS.;SARAH;THOMAS;1/9/1967;S;F;sarah13@adventure-works.com;$110,000 ;0;Graduate Degree;Management;N
11171;MR.;NICHOLAS;ROBINSON;13/7/1967;M;M;nicholas19@adventure-works.com;$110,000 ;0;Graduate Degree;Management;Y
11172;MR.;LUIS;WANG;5/3/1963;S;M;luis24@adventure-works.com;$70,000 ;0;Partial College;Skilled Manual;Y
11173;MR.;MASON;ROBERTS;25/1/1968;M;M;mason25@adventure-works.com;$90,000 ;4;Bachelors;Management;Y
11174;MR.;JOSE;FLORES;4/7/1942;M;M;jose6@adventure-works.com;$110,000 ;2;Graduate Degree;Management;Y
11175;MR.;NATHAN;JOHNSON;24/8/1943;M;M;nathan55@adventure-works.com;$100,000 ;2;Graduate Degree;Management;Y
11176;MRS.;MOLLY;RODRIGUEZ;14/6/1943;M;F;molly18@adventure-works.com;$120,000 ;2;Graduate Degree;Management;Y
11177;MRS.;APRIL;ANAND;2/1/1943;M;F;april18@adventure-works.com;$160,000 ;1;Bachelors;Management;Y
11178;MR.;DEVIN;MARTIN;8/8/1943;M;M;devin13@adventure-works.com;$170,000 ;2;Graduate Degree;Management;Y
11179;MRS.;STEPHANIE;TORRES;25/8/1944;S;F;stephanie19@adventure-works.com;$70,000 ;4;Bachelors;Management;Y
11180;MRS.;JASMINE;LEE;15/7/1944;S;F;jasmine19@adventure-works.com;$70,000 ;4;Bachelors;Management;Y
11181;MRS.;MEGHAN;HERNANDEZ;16/11/1944;S;F;meghan3@adventure-works.com;$70,000 ;4;Bachelors;Management;Y
11182;MRS.;ASHLEY;HENDERSON;8/10/1944;S;F;ashley31@adventure-works.com;$70,000 ;4;Bachelors;Management;Y
11183;MRS.;SARAH;PRICE;21/5/1944;S;F;sarah25@adventure-works.com;$70,000 ;4;Bachelors;Management;Y
11184;MRS.;JENNIFER;COOPER;22/2/1944;M;F;jennifer63@adventure-works.com;$60,000 ;4;Graduate Degree;Management;Y
11185;MRS.;CATHERINE;MORRIS;6/9/1944;M;F;catherine16@adventure-works.com;$60,000 ;4;Graduate Degree;Management;N
11186;MR.;CARSON;BRYANT;22/6/1944;M;M;carson17@adventure-works.com;$70,000 ;5;Bachelors;Management;Y
11187;MRS.;KRISTI;PEREZ;18/12/1945;S;F;kristi39@adventure-works.com;$70,000 ;5;Bachelors;Management;Y
11188;MR.;JAMES;BROWN;13/9/1945;M;M;james79@adventure-works.com;$60,000 ;4;Bachelors;Management;Y
11189;MR.;IAN;GRAY;13/2/1945;M;M;ian72@adventure-works.com;$60,000 ;4;Bachelors;Management;Y
11190;MRS.;JACQUELINE;PRICE;10/6/1945;M;F;jacqueline0@adventure-works.com;$60,000 ;4;Bachelors;Management;Y
11191;MRS.;MEGAN;HENDERSON;10/2/1946;M;F;megan55@adventure-works.com;$60,000 ;5;Bachelors;Management;Y
11192;MR.;ALFREDO;ROMERO;7/6/1946;M;M;alfredo10@adventure-works.com;$60,000 ;5;Bachelors;Management;Y
11193;MRS.;ANDREA;MORRIS;18/6/1946;M;F;andrea18@adventure-works.com;$70,000 ;3;Bachelors;Management;N
11194;MRS.;BROOKE;SANDERS;26/11/1946;S;F;brooke3@adventure-works.com;$70,000 ;4;Bachelors;Management;Y
11195;MRS.;JACQUELINE;BENNETT;6/11/1946;M;F;jacqueline1@adventure-works.com;$70,000 ;4;Bachelors;Management;Y
11196;MR.;JASON;GRIFFIN;22/11/1947;M;M;jason18@adventure-works.com;$70,000 ;4;Bachelors;Management;Y
11197;MRS.;AMANDA;FOSTER;18/8/1947;M;F;amanda37@adventure-works.com;$70,000 ;4;Bachelors;Management;Y
11198;MRS.;ALEXIA;PRICE;26/8/1947;M;F;alexia0@adventure-works.com;$80,000 ;5;Bachelors;Management;N
11199;MR.;LUIS;DIAZ;21/8/1948;M;M;luis21@adventure-works.com;$40,000 ;2;High School;Professional;Y
11200;MRS.;ABBY;FERNANDEZ;24/7/1948;M;F;abby13@adventure-works.com;$40,000 ;2;High School;Professional;Y
11201;MR.;BLAKE;FLORES;24/9/1948;M;M;blake60@adventure-works.com;$60,000 ;2;Partial College;Professional;Y
11202;MRS.;DANIELLE;COX;19/7/1948;S;F;danielle12@adventure-works.com;$60,000 ;2;Partial College;Professional;Y
11203;MRS.;MARIA;REED;4/2/1948;M;F;maria4@adventure-works.com;$60,000 ;2;Bachelors;Management;Y
11204;MRS.;ALLISON;EVANS;13/1/1948;M;F;allison21@adventure-works.com;$60,000 ;2;Bachelors;Management;Y
11205;MR.;EDWARD;WOOD;8/6/1948;M;M;edward50@adventure-works.com;$70,000 ;4;Partial College;Professional;Y
11206;MRS.;SAMANTHA;RUSSELL;12/10/1949;M;F;samantha42@adventure-works.com;$40,000 ;2;High School;Professional;Y
11207;MRS.;CHLOE;CAMPBELL;5/11/1949;M;F;chloe4@adventure-works.com;$40,000 ;2;High School;Professional;Y
11208;MRS.;STEPHANIE;MURPHY;14/5/1949;S;F;stephanie11@adventure-works.com;$60,000 ;2;Partial College;Professional;Y
11209;MR.;CHARLES;MILLER;7/11/1949;S;M;charles9@adventure-works.com;$60,000 ;2;Partial College;Professional;Y
11210;MRS.;ANA;PERRY;21/6/1950;M;F;ana7@adventure-works.com;$40,000 ;2;Partial High School;Skilled Manual;Y
11211;MRS.;JASMINE;TORRES;20/5/1950;S;F;jasmine32@adventure-works.com;$60,000 ;2;Partial College;Professional;Y
